source;entiteit;veld;label;min;max;type;default;choice_list
group_63848848b080a;Place;county;County;1;;select;;Aberdeenshire|Angus|Argyll|Ayrshire|Banffshire|Bedfordshire|Berkshire|Berwickshire|Brecknockshire|Buckinghamshire|Buteshire|Caernarfonshire|Caithness|Cambridgeshire|Cardiganshire|Carmarthenshire|Cheshire|Clackmannanshire|Cornwall|Cumberland|Derbyshire|Devon|Dorset|Dumfriesshire|Dunbartonshire|Durham|East Lothian|Essex|Fife|Flintshire|Forfarshire|Galloway|Glamorgan|Gloucestershire|Haddingtonshire (East Lothian)|Hampshire|Herefordshire|Hertfordshire|Huntingdonshire|Inner Hebrides, Argyll|Inverness-shire|Isle of Skye|Jersey|Kent|Kincardineshire|Kinross-shire|Kirkcudbrightshire|Lanarkshire|Lancashire|Leicestershire|Lewis, Uist & Skye|Lincolnshire|Linlithgowshire (West Lothian)|London|Middlesex|Midlothian|Monmouthshire|Moray|Nairnshire|Norfolk|North Yorkshire|Northamptonshire|Northumberland|Nottinghamshire|Orkney|Oxfordshire|Peeblesshire|Pembrokeshire|Perthshire|Powys|Renfrewshire|Ross & Cromarty|Roxburghshire|Rutland|Selkirkshire|Shropshire|Somerset|Staffordshire|Stirlingshire|Suffolk|Surrey|Sussex|Sutherland|Warwickshire|West Lothian|West Yorkshire|Westmorland|Wigtownshire|Wiltshire|Worcestershire|Yorkshire
group_63848848b080a;Place;region;Region;0;;select;;Argyll & Bute|Central England|Central Scotland|Channel Islands|Devon & Cornwall|East Anglia|East Midlands|Highlands & Islands|London|Mid-Wales|North Wales|North-east Scotland|North-west England|Northern England|Scotland|South Wales|South-east England|South-west England|Southern Scotland|Wessex|West Midlands|Yorkshire
group_63848848b080a;Place;country;Country;1;;select;;England|Scotland|Wales
group_63848848b080a;Place;latitude;Latitude;0;;text;;
group_63848848b080a;Place;longitude;Longitude;0;;text;;
group_619e6646dd858;Organisation;economic_sector;Economic sector;0;;select;;banking|charity|commerce|government|infrastructure|insurance|land|manufacturing|mining|shipping
group_619e6646dd858;Organisation;region_clone;Region;0;;clone;;
group_619e6646dd858;Organisation;category;Category;0;;select;;Business|Charity|Educational|Hospitals|Imperial|Legal|Livery|Military|Parish|Political|Religious|Scientific|Social|State
group_619e6646dd858;Organisation;description_of_activities;Description of Activities;0;;wysiwyg;;
group_619e6646dd858;Organisation;slave_trading;Slave trading;0;;group;;
